preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
A2ML1,A1BG,A4GALT,A2M,A2M,A1BG,A4GALT,AAAS
AARD,AAMDC,AADACL2-AS1,A2M-AS1,A2ML1,AADAC,AADACL2-AS1,AACS
ABCA10,ABCA11P,AADACL3,AAAS,A3GALT2,AAMDC,AADACL4,AADACL2
ABCA2,ABCA13,AAK1,AADAT,A4GNT,AATK,AAK1,AADACL3
ABCA5,ABCA8,AARS2,AAGAB,AACSP1,ABALON,AAMP,AADAT
ABCA9-AS1,ABCA9,AATF,AAMP,ABCA10,ABCA8,AANAT,AAGAB
ABCB9,ABCB1,ABCB10,AAR2,ABCA12,ABCB1,AARS2,AAR2
ABCC12,ABCC5,ABCB5,AARS,ABCA17P,ABCB5,ABAT,AARD
ABCC3,ABCF1,ABCB6,AARSD1,ABCA2,ABCC11,ABCA13,AARS
ABCC4,ABCF2,ABCB8,AASDHPPT,ABCA3,ABCC8,ABCA7,AARSD1
ABCD3,ABLIM3,ABCC13,AASS,ABCA6,ABCC9,ABCA9,AASDH
ABCD4,ACADL,ABCC2,ABALON,ABCA9-AS1,ABCF1,ABCB10,AASDHPPT
ABCG4,ACADSB,ABCG2,ABCA7,ABCB11,ABCF2,ABCB8,AASS
ABHD16A,ACAN,ABHD11,ABCC10,ABCB9,ABCG5,ABCC10,AATF
ABHD3,ACBD3,ABHD14B,ABCC6P2,ABCC1,ABHD15,ABCC12,ABCB6
ABI3BP,ACBD3-AS1,ABHD15,ABCC8,ABCC4,ABRA,ABCC13,ABCB7
ABITRAM,ACBD5,ABHD17A,ABCD1,ABCC6,ABT1,ABCC2,ABCE1
ABL1,ACBD7,ABHD17C,ABCE1,ABCC6P1,ACBD4,ABCC3,ABCG1
ABR,ACCS,ABHD5,ABCF3,ABCD2,ACBD5,ABCC5,ABHD10
ABRAXAS2,ACOT11,ABHD6,ABCG1,ABCD4,ACCS,ABCF3,ABHD13
ABTB1,ACOT12,ABO,ABHD1,ABCG4,ACER2,ABCG2,ABHD14A-ACY1
ABTB2,ACOX3,ABRA,ABHD10,ABHD11-AS1,ACKR4,ABHD1,ABHD18
ACAD11,ACSM3,ACAA1,ABHD12,ABHD17A,ACMSD,ABHD11,ABHD4
ACAP2,ACSS2,ACACB,ABHD13,ABHD17B,ACOT11,ABHD16B,ABI2
ACCSL,ADAM20P1,ACAD9,ABHD14A-ACY1,ABHD3,ACP7,ABHD17C,ABI3
ACER1,ADAM28,ACADS,ABHD18,ABI3BP,ACSBG1,ABHD6,ABITRAM
ACKR4,ADARB2-AS1,ACADVL,ABHD4,ABL1,ACSS2,ABHD8,ABLIM1
ACOT1,ADCY10,ACE,ABHD8,ABL2,ACTG1P17,ABI1,ABRACL
ACOT2,ADCY10P1,ACER2,ABI1,ABLIM2,ACTG1P4,ABLIM3,ABRAXAS1
ACRBP,ADGRD1-AS1,ACER3,ABI2,ABO,ACTL10,ABR,ABTB1
ACRV1,ADGRE1,ACKR1,ABI3,ABTB2,ACTN1-AS1,ACAD9,ACAA2
ACSL5,ADGRE4P,ACKR2,ABLIM1,ACACB,ACTN2,ACADS,ACACA
ACTL8,ADGRF3,ACKR3,ABRACL,ACAD11,ACTR3C,ACAN,ACAD8
ACVR1,ADGRL3,ACO2,ABRAXAS1,ACADSB,ACTR5,ACE,ACADL
ACVR1B,ADGRL3-AS1,ACOD1,ABT1,ACAP2,ADAL,ACE2,ACADM
ACVR1C,ADIRF,ACOX1,ACAA2,ACCSL,ADAM20,ACKR1,ACAP1
ACVR2A,ADNP2,ACOXL,ACACA,ACD,ADAM20P1,ACKR2,ACAT2
ACVR2B,AEBP2,ACP5,ACAD10,ACOT1,ADAM29,ACKR3,ACBD6
ACYP1,AFMID,ACPP,ACAD8,ACOT2,ADAM5,ACO2,ACBD7
ADAD1,AFTPH,ACSBG1,ACADM,ACOT9,ADAMTS7P1,ACOD1,ACER3
ADAL,AGAP10P,ACSF2,ACAP1,ACOX3,ADAMTS7P1.1,ACOT12,ACHE
ADAM12,AGAP4,ACSL4,ACAT2,ACR,ADCY1,ACOT4,ACIN1
ADAM15,AGAP5,ACSL6,ACBD4,ACSL5,ADCY10,ACOT6,ACO1
ADAM17,AGBL2,ACSM6,ACBD6,ACSM5,ADCY10P1,ACOX1,ACOT7
ADAM20,AGO3,ACTG1P17,ACHE,ACSM6,ADCYAP1,ACOXL,ACOT8
ADAM21,AGRP,ACTG1P20,ACIN1,ACTBL2,ADGRE1,ACP4,ACOX2
ADAM7,AGTR1,ACTL7A,ACO1,ACTL6A,ADGRF3,ACPP,ACP1
ADAM8,AGXT2,ACTN2,ACOT13,ACTL6B,ADHFE1,ACSL3,ACP2
ADAMTS18,AHCTF1,ACTR1A,ACOT6,ACTL8,ADIPOR1,ACSM1,ACSF2
ADAMTS3,AHCTF1P1,ACTR3BP5,ACOT7,ACTN3,ADIPOR2,ACSM2A,ACSF3
ADAMTS9,AHR,ACTR6,ACOT8,ACTR2,ADNP2,ACSM3,ACSL4
ADAMTSL3,AIDA,ACVRL1,ACOT9,ACTR3B,ADORA2A,ACSM4,ACSL6
ADAR,AK6,ADAM18,ACOX2,ACTR3BP5,ADRA1A,ACTA2-AS1,ACSS1
ADARB1,AK7,ADAM23,ACP1,ACVR1,ADRA1D,ACTL7A,ACSS3
ADAT1,AKAIN1,ADAM9,ACP2,ACVR1B,AFG3L1P,ACTL9,ACTA1
ADD1,AKAP14,ADAMTS12,ACSF3,ACVR1C,AFMID,ACTR6,ACTA2
ADD3,AKAP5,ADAMTS13,ACSM1,ACVR2A,AFTPH,ACTRT1,ACTB
ADGB,AKAP8,ADAMTS20,ACTA1,ACYP1,AGAP10P,ACTRT2,ACTC1
ADGRB2,AKR1B10,ADAMTSL2,ACTA2,ADA,AGAP12P,ACVR2B,ACTG1
ADGRD1,AKR1B15,ADAMTSL4,ACTB,ADAD1,AGAP4,ACVRL1,ACTG1P20
ADGRG2,AKT1S1,ADAMTSL4-AS1,ACTC1,ADAM10,AGAP5,ACYP2,ACTN1
ADGRG6,ALDH3B1,ADAP2,ACTG1,ADAM17,AGAP6,ADAM11,ACTN4
ADGRG7,ALDH8A1,ADAT3,ACTL6A,ADAM21P1,AGAP7P,ADAM18,ACTR1A
ADO,ALDOB,ADCK1,ACTL6B,ADAM3A,AGO3,ADAM1A,ACTR3
ADPGK,ALG11,ADGRA2,ACTN1,ADAM8,AGO4,ADAM30,ACTR3-AS1
ADRA2B,ALG13,ADGRB3,ACTN4,ADAMTS10,AGPAT1,ADAM6,ACTR8
AFAP1,ALKAL1,ADGRF1,ACTR10,ADAMTS14,AGTR1,ADAM7,ACTRT3
AFAP1-AS1,ALKBH8,ADGRF2,ACTR3,ADAMTS3,AHCTF1,ADAM9,ACVR2B-AS1
AFAP1L2,ALLC,ADGRF4,ACTR3B,ADAMTS9,AHCTF1P1,ADAMDEC1,ACY1
AFF1,ALOX12B,ADGRG1,ACTR5,ADAMTS9-AS1,AHNAK2,ADAMTS19-AS1,ACY3
AFF2,ALPG,ADGRG3,ACTR8,ADAMTSL1,AHR,ADAMTS6,ADA2
AFF4,ALPK2,ADH1B,ACTRT3,ADAMTSL3,AIDA,ADAMTSL4,ADAM22
AGBL1,ALS2,ADI1,ACVR2B-AS1,ADAMTSL5,AIPL1,ADAP2,ADAM28
AGGF1,ALYREF,ADM5,ACY1,ADAP1,AK7,ADARB2-AS1,ADAM33
AGK,AMD1,ADNP,ACY3,ADAR,AKAP8,ADAT3,ADAMTS1
AGMO,AMDHD1,ADORA2A,ACYP2,ADARB1,AKR1B10,ADCK1,ADAMTS12
AGO2,AMIGO2,ADORA2B,ADA2,ADARB2,AKR1B15,ADCK2,ADAMTS13
AHSA1,ANAPC1P1,ADRA1B,ADAM11,ADAT1,AKR1D1,ADCK5,ADAMTS15
AHSA2P,ANGPTL1,ADRA2A,ADAM1A,ADCY3,AKT1S1,ADGB,ADAMTS16
AK9,ANKHD1,ADRM1,ADAM33,ADCY5,ALDH8A1,ADGRA1,ADAMTS19
AKAP11,ANKHD1-EIF4EBP3,ADTRP,ADAM3B,ADCY7,ALDOB,ADGRB3,ADAMTS20
AKAP6,ANKRD12,AEN,ADAMTS1,ADCY9,ALG1L9P,ADGRE5,ADAMTS4
